accuracy,dataset,experiment,macro_f1,model,run,source,weighted_f1
0.69,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.6874918608267694,cnnwithnal,4,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.6874918608267693
0.626,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.6080664084662494,cnnwithnal,5,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.6080664084662494
0.8306666666666667,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.8306115846728962,cnnwithnal,6,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.8306115846728961
0.697,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.6966809077010425,cnnwithnal,7,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.6966809077010424
0.8133333333333334,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.8131091674319687,cnnwithnal,8,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.8131091674319688
0.6553333333333333,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.6528489681236453,cnnwithnal,9,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.6528489681236453
0.379,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.25285413813362306,cnnwithnal,0,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.25285413813362306
0.42033333333333334,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.3167381868272387,cnnwithnal,1,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.3167381868272387
0.927,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.9270846808616949,cnnwithnal,2,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.9270846808616949
0.772,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.7604556739438352,cnnwithnal,3,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.7604556739438352
0.6193333333333333,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.5151791588573198,cnnwithnal,4,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.5151791588573198
0.7683333333333333,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.7627228697937624,cnnwithnal,5,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.7627228697937625
0.837,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.835870599889534,cnnwithnal,6,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.835870599889534
0.6143333333333333,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.5101796665681603,cnnwithnal,7,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.5101796665681603
0.697,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.694552251984431,cnnwithnal,8,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.694552251984431
0.9106666666666666,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.9109338381400169,cnnwithnal,9,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.9109338381400169
0.42766666666666664,CIFAR,cnn_CIFAR,0.42656033572494306,cnn,0,cnn_CIFAR_pred_results.pkl,0.42656033572494306
0.3863333333333333,CIFAR,cnn_CIFAR,0.3758145956607495,cnn,1,cnn_CIFAR_pred_results.pkl,0.37581459566074954
0.389,CIFAR,cnn_CIFAR,0.3877953644805386,cnn,2,cnn_CIFAR_pred_results.pkl,0.3877953644805386
0.41633333333333333,CIFAR,cnn_CIFAR,0.41387901256924087,cnn,3,cnn_CIFAR_pred_results.pkl,0.41387901256924087
0.3883333333333333,CIFAR,cnn_CIFAR,0.38442707089388656,cnn,4,cnn_CIFAR_pred_results.pkl,0.3844270708938866
0.44033333333333335,CIFAR,cnn_CIFAR,0.435341230150229,cnn,5,cnn_CIFAR_pred_results.pkl,0.43534123015022896
0.4196666666666667,CIFAR,cnn_CIFAR,0.4076569878959874,cnn,6,cnn_CIFAR_pred_results.pkl,0.4076569878959874
0.4096666666666667,CIFAR,cnn_CIFAR,0.4004672066035421,cnn,7,cnn_CIFAR_pred_results.pkl,0.4004672066035422
0.39466666666666667,CIFAR,cnn_CIFAR,0.39311589856275037,cnn,8,cnn_CIFAR_pred_results.pkl,0.3931158985627505
0.4656666666666667,CIFAR,cnn_CIFAR,0.46233860933110504,cnn,9,cnn_CIFAR_pred_results.pkl,0.4623386093311051
0.9943333333333333,FashionMNIST0.3,cnn_fashionmnist0.3,0.9943359926755685,cnn,0,cnn_fashionmnist0.3_pred_results.pkl,0.9943359926755685
0.995,FashionMNIST0.3,cnn_fashionmnist0.3,0.9949999687498047,cnn,1,cnn_fashionmnist0.3_pred_results.pkl,0.9949999687498047
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,0.993001939080139,cnn,2,cnn_fashionmnist0.3_pred_results.pkl,0.993001939080139
0.9916666666666667,FashionMNIST0.3,cnn_fashionmnist0.3,0.9916677353464246,cnn,3,cnn_fashionmnist0.3_pred_results.pkl,0.9916677353464247
0.994,FashionMNIST0.3,cnn_fashionmnist0.3,0.9939943929816142,cnn,4,cnn_fashionmnist0.3_pred_results.pkl,0.9939943929816142
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,0.9929999842499647,cnn,5,cnn_fashionmnist0.3_pred_results.pkl,0.9929999842499646
0.9943333333333333,FashionMNIST0.3,cnn_fashionmnist0.3,0.9943333205833046,cnn,6,cnn_fashionmnist0.3_pred_results.pkl,0.9943333205833046
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,0.9929999842499645,cnn,7,cnn_fashionmnist0.3_pred_results.pkl,0.9929999842499646
0.995,FashionMNIST0.3,cnn_fashionmnist0.3,0.9949999887499746,cnn,8,cnn_fashionmnist0.3_pred_results.pkl,0.9949999887499746
0.997,FashionMNIST0.3,cnn_fashionmnist0.3,0.9969999992499998,cnn,9,cnn_fashionmnist0.3_pred_results.pkl,0.9969999992499997
0.939,FashionMNIST0.6,cnn_fashionmnist0.6,0.938722645471708,cnn,0,cnn_fashionmnist0.6_pred_results.pkl,0.938722645471708
0.9293333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,0.928737532810776,cnn,1,cnn_fashionmnist0.6_pred_results.pkl,0.928737532810776
0.9223333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,0.9215100883520355,cnn,2,cnn_fashionmnist0.6_pred_results.pkl,0.9215100883520355
0.8006666666666666,FashionMNIST0.6,cnn_fashionmnist0.6,0.8031810497499907,cnn,3,cnn_fashionmnist0.6_pred_results.pkl,0.8031810497499906
0.8053333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,0.7997825594472966,cnn,4,cnn_fashionmnist0.6_pred_results.pkl,0.7997825594472967
0.863,FashionMNIST0.6,cnn_fashionmnist0.6,0.86125689421455,cnn,5,cnn_fashionmnist0.6_pred_results.pkl,0.8612568942145499
0.86,FashionMNIST0.6,cnn_fashionmnist0.6,0.8574864776411221,cnn,6,cnn_fashionmnist0.6_pred_results.pkl,0.857486477641122
0.8523333333333334,FashionMNIST0.6,cnn_fashionmnist0.6,0.8490312523835053,cnn,7,cnn_fashionmnist0.6_pred_results.pkl,0.8490312523835053
0.8033333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,0.7990929178957268,cnn,8,cnn_fashionmnist0.6_pred_results.pkl,0.7990929178957267
0.8793333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,0.8763604160767714,cnn,9,cnn_fashionmnist0.6_pred_results.pkl,0.8763604160767715
